Absolutmadve,Druid,0,100
Actionmage,Mage,0,100
Adagard,Mage,0,100
Adaras,Rogue,0,100
Aeonyx,Warlock,0,100
Aerlinn,Hunter,0,100
Aimbot,Hunter,0,100
Alagar,Warrior,0,100
Aldi,Rogue,0,100
Alexie,Rogue,0,100
Altarpojke,Priest,0,100
Altibzz,Rogue,0,100
Amestic,Priest,0,100
Amestíc,Druid,0,100
Amtar,Mage,0,100
Angin,Priest,7502,140
Aoefarming,Mage,0,100
Appendix,Druid,0,100
Applestrudel,Shaman,7502,100
Arbitrage,Warlock,0,100
Arceus,Warrior,0,100
Arrlinn,Hunter,0,100
Arx,Shaman,0,100
Astoran,Druid,0,100
Audiniai,Mage,0,100
Avianna,Mage,0,100
Azeem,Warrior,0,100
Azh,Mage,0,100
Aziim,Mage,0,100
Azuspawned,Warrior,0,100
Balnar,Priest,0,100
Banklie,Priest,0,100
Bankofthrow,Warrior,0,100
Bankyz,Warrior,0,100
Bashkar,Warrior,0,100
Beardedheals,Priest,0,100
Belek,Shaman,5598,250
Belson,Rogue,0,100
Bennyxz,Rogue,0,100
Beññy,Rogue,5402,255
Bigbadjohn,Warrior,0,100
Bigbamboo,Warrior,0,100
Binbag,Priest,0,100
Binsen,Shaman,0,100
Bloges,Shaman,7502,100
Blogis,Mage,0,100
Blogisr,Rogue,0,100
Blogisw,Warrior,0,100
Blowshutup,Mage,0,100
Boher,Mage,0,100
Boodanandya,Rogue,0,100
Borkborkbork,Shaman,0,100
Bothrona,Mage,0,100
Bowning,Hunter,0,100
Brackner,Warrior,0,100
Bradypus,Hunter,0,100
Brigette,Mage,0,100
Brodersalsa,Warlock,0,100
Brucebean,Rogue,0,100
Bruceleet,Shaman,1682,100
Bruisealch,Mage,0,100
Bruiseaq,Warrior,0,100
Bruiseleet,Warrior,0,100
Bruisewar,Warlock,0,100
Brutals,Rogue,0,100
Bumbler,Warlock,0,100
Bystigabetti,Warrior,0,100
Cacklez,Hunter,5887,130
