Actionmage,Mage,Alt,0,100,0,
Adagard,Mage,Social,0,100,0,
Adaras,Rogue,Social,0,100,0,
Aeonyx,Warlock,Alt,33182,556,59.67,
Agn,Death Knight,Raider,0,100,0,
Aimbot,Hunter,Alt,0,100,0,
Alexie,Rogue,Alt,0,100,0,
Altibzz,Rogue,Officer alt,0,100,0,
Amestíc,Druid,Social,0,100,0,
Amtar,Mage,Alt,207,100,2.06,
Angin,Priest,Raider,30411,378,80.45,
Annaël,Hunter,Social,0,100,0,
Aoefarming,Mage,Alt,0,100,0,
Applestrudel,Shaman,Officer alt,33007,272,121.34,
Arone,Priest,Social,200,100,2,
Arx,Shaman,Alt,0,100,0,
Audiniai,Mage,Alt,0,100,0,
Aurimus,Hunter,Social,0,100,0,
Avera,Shaman,Loot master,32169,531,60.58,
Azh,Mage,Loot master,0,100,0,
Azuspawned,Warrior,Alt,0,100,0,
Balnar,Priest,Alt,0,100,0,
Banklie,Priest,Alt,0,100,0,
Bankofthrow,Warrior,Officer alt,0,100,0,
Bankyz,Warrior,Alt,0,100,0,
Barman,Warrior,Alt,33179,178,186.39,
Barrock,Warlock,Raider,33179,178,186.39,
Bartender,Warlock,Alt,33179,178,186.39,
Beardedheals,Priest,Alt,0,100,0,
Belek,Shaman,Social,0,100,0,
Belson,Rogue,Alt,0,100,0,
Belzuurr,Hunter,Social,0,100,0,
Bennyxz,Rogue,Alt,30527,304,100.41,
Bennyz,Warrior,Alt,0,100,0,
Beññy,Rogue,Trial,30527,304,100.41,
Bigbadjohn,Warrior,Alt,0,100,0,
Binbag,Priest,Alt,24963,482,51.79,
Blightbound,Warlock,Raider,0,100,0,
Bloges,Shaman,Social,0,100,0,
Blogis,Mage,Alt,0,100,0,
Blogisr,Rogue,Alt,0,100,0,
Blogisw,Warrior,Alt,0,100,0,
Blowshutup,Mage,Alt,0,100,0,
Borkborkbork,Shaman,Alt,0,100,0,
Bothrona,Mage,Social,0,100,0,
Bowning,Hunter,Alt,0,100,0,
Bradypus,Hunter,Alt,0,100,0,
Brigette,Mage,Social,0,100,0,
Brodersalsa,Warlock,Social,0,100,0,
Brokeguy,Priest,Social,0,100,0,
Bruceleet,Shaman,Officer,633,100,6.33,
Bruisealch,Mage,Alt,0,100,0,
Bruiseaq,Warrior,Alt,0,100,0,
Bruiseleet,Warrior,Officer alt,0,100,0,
Bruisewar,Warlock,Alt,0,100,0,
Bumbler,Warlock,Alt,0,100,0,
Cacklez,Hunter,Officer alt,28806,628,45.86,
